Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12714.0,34,1,682.65,1,1,4,114,At Risk
12747.0,22,3,1032.0,3,2,4,324,Regular
12748.0,17,7,1851.51,4,2,4,424,Regular
12758.0,37,1,2454.68,1,1,4,114,At Risk
12759.0,34,1,508.26,1,1,3,113,At Risk
12779.0,35,1,371.82,1,1,3,113,At Risk
12785.0,30,1,366.9,2,1,3,213,At Risk
12820.0,33,1,148.3,1,1,1,111,At Risk
12826.0,20,1,458.20000000000005,4,1,3,413,Regular
12835.0,1,6,1345.6,4,2,4,424,Regular
12836.0,37,1,423.87,1,1,3,113,At Risk
12839.0,19,3,969.78,4,2,4,424,Regular
12842.0,36,1,397.20000000000005,1,1,3,113,At Risk
12843.0,25,1,76.84,3,1,1,311,Regular
12854.0,27,1,525.34,3,1,3,313,Regular
12867.0,21,1,295.64,4,1,2,412,Regular
12872.0,34,1,407.22,1,1,3,113,At Risk
12913.0,30,2,741.96,2,1,4,214,At Risk
12917.0,29,1,1552.9,2,1,4,214,At Risk
12920.0,23,2,138.9,3,1,1,311,Regular
12921.0,20,4,2443.7000000000003,4,2,4,424,Regular
12924.0,23,3,280.35,3,2,2,322,Regular
12926.0,24,1,390.66,3,1,3,313,Regular
12931.0,34,2,1268.75,1,1,4,114,At Risk
12933.0,27,1,155.79,3,1,1,311,Regular
12934.0,35,1,181.65,1,1,1,111,At Risk
12937.0,21,2,314.57,4,1,2,412,Regular
12941.0,23,1,377.49,3,1,3,313,Regular
12948.0,29,2,252.48000000000002,2,1,2,212,At Risk
12949.0,34,1,1794.7,1,1,4,114,At Risk
12956.0,22,2,276.7,3,1,2,312,Regular
12957.0,27,1,1107.95,3,1,4,314,Regular
12970.0,34,1,260.64,1,1,2,112,At Risk
12971.0,22,1,61.45,3,1,1,311,Regular
12975.0,32,1,441.63,2,1,3,213,At Risk
12978.0,28,1,945.58,2,1,4,214,At Risk
12979.0,27,1,517.7,3,1,3,313,Regular
12980.0,36,1,754.2,1,1,4,114,At Risk
12989.0,28,1,413.1,2,1,3,213,At Risk
12992.0,23,1,93.35000000000001,3,1,1,311,Regular
13000.0,23,1,497.65000000000003,3,1,3,313,Regular
13001.0,34,1,869.9300000000001,1,1,4,114,At Risk
13004.0,3,2,722.39,4,1,4,414,Regular
13008.0,21,1,189.31,4,1,1,411,Regular
13013.0,24,1,756.51,3,1,4,314,Regular
13019.0,28,2,445.3,2,1,3,213,At Risk
13021.0,33,1,233.70999999999998,1,1,2,112,At Risk
13025.0,30,1,323.39,2,1,2,212,At Risk
13026.0,25,1,335.98,3,1,2,312,Regular
13037.0,34,1,313.19,1,1,2,112,At Risk
13039.0,20,1,162.8,4,1,1,411,Regular
13042.0,30,1,668.1,2,1,3,213,At Risk
13047.0,22,1,306.3,3,1,2,312,Regular
13050.0,22,1,327.91,3,1,2,312,Regular
13070.0,31,1,154.2,2,1,1,211,At Risk
13074.0,22,1,313.3,3,1,2,312,Regular
13077.0,20,2,639.84,4,1,3,413,Regular
13078.0,18,4,2319.03,4,2,4,424,Regular
13081.0,30,1,2285.58,2,1,4,214,At Risk
13082.0,15,2,192.18,4,1,1,411,Regular
13085.0,35,4,1096.8,1,2,4,124,At Risk
13087.0,24,1,313.64,3,1,2,312,Regular
13089.0,17,5,3128.5,4,2,4,424,Regular
13091.0,28,2,1976.0,2,1,4,214,At Risk
13093.0,24,3,1943.47,3,2,4,324,Regular
13097.0,22,3,1244.33,3,2,4,324,Regular
13110.0,37,1,362.78000000000003,1,1,3,113,At Risk
13111.0,17,1,321.88000000000005,4,1,2,412,Regular
13114.0,29,1,234.38,2,1,2,212,At Risk
13136.0,29,1,549.09,2,1,3,213,At Risk
13141.0,29,1,351.45,2,1,3,213,At Risk
13148.0,30,1,331.40000000000003,2,1,2,212,At Risk
13154.0,34,1,337.1,1,1,2,112,At Risk
13162.0,23,2,1585.6100000000001,3,1,4,314,Regular
13173.0,28,1,302.70000000000005,2,1,2,212,At Risk
13174.0,33,1,630.39,1,1,3,113,At Risk
13175.0,34,1,319.15,1,1,2,112,At Risk
13178.0,22,1,618.79,3,1,3,313,Regular
13190.0,31,1,147.1,2,1,1,211,At Risk
13199.0,33,1,138.24,1,1,1,111,At Risk
13202.0,29,1,320.2,2,1,2,212,At Risk
13203.0,21,1,339.9,4,1,2,412,Regular
13204.0,29,1,966.6600000000001,2,1,4,214,At Risk
13206.0,3,4,3302.42,4,2,4,424,Regular
13208.0,35,1,61.12,1,1,1,111,At Risk
13211.0,31,1,235.84,2,1,2,212,At Risk
13225.0,21,1,1425.3,4,1,4,414,Regular
13234.0,31,1,238.85,2,1,2,212,At Risk
13253.0,2,1,974.39,4,1,4,414,Regular
13266.0,21,1,295.55,4,1,2,412,Regular
13267.0,1,3,1044.1,4,2,4,424,Regular
13269.0,21,3,526.62,4,2,3,423,Regular
13287.0,3,1,264.38,4,1,2,412,Regular
13289.0,22,1,307.95,3,1,2,312,Regular
13313.0,35,2,383.89,1,1,3,113,At Risk
13317.0,25,1,416.82,3,1,3,313,Regular
13319.0,20,3,1260.77,4,2,4,424,Regular
13327.0,19,1,914.16,4,1,4,414,Regular
13329.0,33,1,334.65,1,1,2,112,At Risk
13338.0,2,1,757.1,4,1,4,414,Regular
13373.0,32,1,748.42,2,1,4,214,At Risk
13381.0,36,1,17.4,1,1,1,111,At Risk
13382.0,30,1,255.04,2,1,2,212,At Risk
13393.0,22,2,389.7,3,1,3,313,Regular
13394.0,37,1,304.53000000000003,1,1,2,112,At Risk
13403.0,22,1,78.6,3,1,1,311,Regular
13405.0,23,1,146.45999999999998,3,1,1,311,Regular
13408.0,1,7,3083.18,4,2,4,424,Regular
13410.0,30,1,81.12,2,1,1,211,At Risk
13415.0,27,1,483.42,3,1,3,313,Regular
13416.0,35,1,228.3,1,1,2,112,At Risk
13418.0,27,1,811.76,3,1,4,314,Regular
13426.0,21,2,942.27,4,1,4,414,Regular
13427.0,21,1,96.0,4,1,1,411,Regular
13442.0,1,2,316.1,4,1,2,412,Regular
13448.0,21,2,1160.09,4,1,4,414,Regular
13455.0,15,2,431.65,4,1,3,413,Regular
13457.0,36,1,112.5,1,1,1,111,At Risk
13462.0,24,1,171.82,3,1,1,311,Regular
13468.0,19,3,903.15,4,2,4,424,Regular
13473.0,22,1,388.74,3,1,3,313,Regular
13481.0,34,1,311.2,1,1,2,112,At Risk
13485.0,30,2,204.70000000000002,2,1,1,211,At Risk
13487.0,33,1,103.95,1,1,1,111,At Risk
13491.0,21,3,801.28,4,2,4,424,Regular
13495.0,23,2,819.91,3,1,4,314,Regular
13498.0,28,1,327.38,2,1,2,212,At Risk
13510.0,17,1,266.7,4,1,2,412,Regular
13520.0,21,1,589.4,4,1,3,413,Regular
13526.0,37,2,1182.0,1,1,4,114,At Risk
13531.0,34,1,311.7,1,1,2,112,At Risk
13542.0,18,2,420.90999999999997,4,1,3,413,Regular
13557.0,2,3,724.9200000000001,4,2,4,424,Regular
13564.0,21,4,744.7,4,2,4,424,Regular
13571.0,30,1,111.24000000000001,2,1,1,211,At Risk
13576.0,29,1,328.8,2,1,2,212,At Risk
13577.0,21,3,399.4,4,2,3,423,Regular
13585.0,36,1,12.75,1,1,1,111,At Risk
13589.0,32,1,269.15,2,1,2,212,At Risk
13590.0,37,1,367.28000000000003,1,1,3,113,At Risk
13591.0,23,1,53.2,3,1,1,311,Regular
13599.0,22,2,975.59,3,1,4,314,Regular
13610.0,2,1,346.75,4,1,2,412,Regular
13611.0,35,1,337.93,1,1,2,112,At Risk
13623.0,36,1,637.04,1,1,3,113,At Risk
13635.0,23,2,797.15,3,1,4,314,Regular
13641.0,17,4,781.86,4,2,4,424,Regular
13643.0,30,1,311.8,2,1,2,212,At Risk
13648.0,36,1,263.09000000000003,1,1,2,112,At Risk
13654.0,36,1,159.98000000000002,1,1,1,111,At Risk
13666.0,34,1,19.5,1,1,1,111,At Risk
13668.0,27,1,615.3,3,1,3,313,Regular
13672.0,29,1,233.53000000000003,2,1,2,212,At Risk
13679.0,33,1,126.8,1,1,1,111,At Risk
13680.0,23,3,2289.15,3,2,4,324,Regular
13693.0,22,3,548.65,3,2,3,323,Regular
13694.0,3,16,26568.27,4,2,4,424,Regular
13711.0,22,1,126.5,3,1,1,311,Regular
13727.0,29,1,130.6,2,1,1,211,At Risk
13728.0,28,1,135.0,2,1,1,211,At Risk
13733.0,33,1,149.10000000000002,1,1,1,111,At Risk
13735.0,25,1,493.37,3,1,3,313,Regular
13736.0,32,1,720.79,2,1,4,214,At Risk
13740.0,36,1,311.69,1,1,2,112,At Risk
13748.0,36,1,173.1,1,1,1,111,At Risk
13753.0,35,1,642.2,1,1,3,113,At Risk
13756.0,22,1,182.25,3,1,1,311,Regular
13758.0,23,2,1866.94,3,1,4,314,Regular
13767.0,24,3,2511.4,3,2,4,324,Regular
13768.0,25,2,875.97,3,1,4,314,Regular
13769.0,22,1,214.25,3,1,2,312,Regular
13770.0,29,1,174.33,2,1,1,211,At Risk
13777.0,21,5,7125.04,4,2,4,424,Regular
13781.0,19,1,314.44,4,1,2,412,Regular
13782.0,32,1,132.4,2,1,1,211,At Risk
13786.0,34,1,723.09,1,1,4,114,At Risk
13798.0,3,4,2306.1800000000003,4,2,4,424,Regular
13800.0,35,1,478.7,1,1,3,113,At Risk
13807.0,34,1,107.95,1,1,1,111,At Risk
13813.0,32,1,283.15,2,1,2,212,At Risk
13819.0,27,2,1082.4,3,1,4,314,Regular
13821.0,3,1,309.2,4,1,2,412,Regular
13823.0,23,1,391.55,3,1,3,313,Regular
13825.0,29,1,143.36,2,1,1,211,At Risk
13831.0,2,3,1499.16,4,2,4,424,Regular
13847.0,18,1,310.72,4,1,2,412,Regular
13848.0,28,1,480.0,2,1,3,213,At Risk
13855.0,20,2,809.1,4,1,4,414,Regular
13871.0,18,1,554.0,4,1,3,413,Regular
13872.0,24,1,252.12,3,1,2,312,Regular
13875.0,21,1,164.59,4,1,1,411,Regular
13883.0,29,1,24.65,2,1,1,211,At Risk
13890.0,31,1,213.65,2,1,2,212,At Risk
13895.0,35,1,831.0,1,1,4,114,At Risk
13901.0,2,1,279.11,4,1,2,412,Regular
13902.0,23,1,429.66,3,1,3,313,Regular
13905.0,31,1,312.65,2,1,2,212,At Risk
13921.0,20,1,102.75,4,1,1,411,Regular
13931.0,24,3,1630.06,3,2,4,324,Regular
13941.0,21,1,781.1,4,1,4,414,Regular
13946.0,34,1,280.2,1,1,2,112,At Risk
13948.0,34,1,155.65,1,1,1,111,At Risk
13952.0,22,1,1226.79,3,1,4,314,Regular
13953.0,27,1,500.0,3,1,3,313,Regular
13958.0,33,2,811.5500000000001,1,1,4,114,At Risk
13965.0,1,1,588.3100000000001,4,1,3,413,Regular
13979.0,35,1,203.78,1,1,1,111,At Risk
13983.0,29,1,175.95000000000002,2,1,1,211,At Risk
13984.0,31,2,259.5,2,1,2,212,At Risk
13993.0,35,1,556.75,1,1,3,113,At Risk
13995.0,20,1,143.7,4,1,1,411,Regular
13999.0,22,2,707.55,3,1,4,314,Regular
14000.0,36,1,192.0,1,1,1,111,At Risk
14003.0,31,1,209.41,2,1,2,212,At Risk
14030.0,27,2,747.15,3,1,4,314,Regular
14031.0,19,5,4081.29,4,2,4,424,Regular
14032.0,17,2,617.64,4,1,3,413,Regular
14037.0,31,1,218.33,2,1,2,212,At Risk
14040.0,21,2,1071.29,4,1,4,414,Regular
14042.0,23,1,431.98,3,1,3,313,Regular
14043.0,27,1,164.31,3,1,1,311,Regular
14051.0,21,2,1073.39,4,1,4,414,Regular
14055.0,21,1,274.32,4,1,2,412,Regular
14057.0,35,1,119.54,1,1,1,111,At Risk
14061.0,22,2,553.4300000000001,3,1,3,313,Regular
14062.0,23,2,2000.42,3,1,4,314,Regular
14063.0,16,4,6701.599999999999,4,2,4,424,Regular
14080.0,29,2,414.65,2,1,3,213,At Risk
14081.0,27,1,792.02,3,1,4,314,Regular
14083.0,20,1,64.17,4,1,1,411,Regular
14085.0,17,4,1844.71,4,2,4,424,Regular
14087.0,33,1,236.69,1,1,2,112,At Risk
14092.0,21,1,136.20000000000002,4,1,1,411,Regular
14095.0,21,1,2.95,4,1,1,411,Regular
14099.0,28,1,390.44,2,1,3,213,At Risk
14105.0,19,1,646.3000000000001,4,1,3,413,Regular
14106.0,36,1,214.79999999999998,1,1,2,112,At Risk
14107.0,29,1,163.26,2,1,1,211,At Risk
14108.0,29,2,447.05,2,1,3,213,At Risk
14110.0,21,2,676.5,4,1,3,413,Regular
14113.0,21,4,1055.19,4,2,4,424,Regular
14119.0,17,1,66.48,4,1,1,411,Regular
14122.0,27,2,131.58999999999997,3,1,1,311,Regular
14123.0,31,1,436.18,2,1,3,213,At Risk
14130.0,26,1,358.32,3,1,3,313,Regular
14133.0,32,1,305.5,2,1,2,212,At Risk
14134.0,22,2,1745.24,3,1,4,314,Regular
14135.0,29,2,1489.2,2,1,4,214,At Risk
14136.0,30,1,302.78000000000003,2,1,2,212,At Risk
14151.0,15,1,352.05,4,1,3,413,Regular
14156.0,17,7,11051.22,4,2,4,424,Regular
14159.0,35,1,393.65,1,1,3,113,At Risk
14161.0,25,1,505.13,3,1,3,313,Regular
14171.0,29,1,135.0,2,1,1,211,At Risk
14173.0,29,1,23.6,2,1,1,211,At Risk
14191.0,27,1,15.9,3,1,1,311,Regular
14194.0,1,1,689.8199999999999,4,1,4,414,Regular
14198.0,2,1,135.25,4,1,1,411,Regular
14204.0,36,1,371.27000000000004,1,1,3,113,At Risk
14210.0,1,1,627.91,4,1,3,413,Regular
14211.0,29,1,187.8,2,1,1,211,At Risk
14215.0,30,1,425.59000000000003,2,1,3,213,At Risk
14238.0,33,1,159.1,1,1,1,111,At Risk
14239.0,29,2,214.55,2,1,2,212,At Risk
14258.0,1,2,2246.2,4,1,4,414,Regular
14277.0,24,1,233.42000000000002,3,1,2,312,Regular
14285.0,30,1,151.2,2,1,1,211,At Risk
14286.0,34,1,1610.52,1,1,4,114,At Risk
14290.0,30,1,870.63,2,1,4,214,At Risk
14291.0,29,1,408.51,2,1,3,213,At Risk
14293.0,16,2,934.45,4,1,4,414,Regular
14295.0,29,2,598.85,2,1,3,213,At Risk
14298.0,26,2,2173.7999999999997,3,1,4,314,Regular
14299.0,18,2,2808.27,4,1,4,414,Regular
14302.0,36,1,114.60000000000001,1,1,1,111,At Risk
14307.0,31,1,242.1,2,1,2,212,At Risk
14329.0,21,1,320.65000000000003,4,1,2,412,Regular
14341.0,23,2,592.69,3,1,3,313,Regular
14347.0,35,1,82.6,1,1,1,111,At Risk
14396.0,36,1,514.97,1,1,3,113,At Risk
14401.0,19,2,831.03,4,1,4,414,Regular
14404.0,18,2,238.89,4,1,2,412,Regular
14408.0,31,1,321.00000000000006,2,1,2,212,At Risk
14415.0,22,1,519.53,3,1,3,313,Regular
14422.0,2,2,675.46,4,1,3,413,Regular
14425.0,21,2,422.29,4,1,3,413,Regular
14440.0,36,1,935.01,1,1,4,114,At Risk
14454.0,32,1,125.94,2,1,1,211,At Risk
14460.0,22,1,155.34,3,1,1,311,Regular
14466.0,24,1,217.8,3,1,2,312,Regular
14467.0,36,1,109.84,1,1,1,111,At Risk
14468.0,32,1,204.24,2,1,1,211,At Risk
14471.0,31,1,208.82999999999998,2,1,2,212,At Risk
14477.0,2,1,165.0,4,1,1,411,Regular
14478.0,37,1,282.28,1,1,2,112,At Risk
14479.0,32,1,355.13,2,1,3,213,At Risk
14480.0,16,1,303.85,4,1,2,412,Regular
14483.0,35,1,120.0,1,1,1,111,At Risk
14484.0,21,1,435.45,4,1,3,413,Regular
14494.0,30,1,114.3,2,1,1,211,At Risk
14505.0,16,2,1380.63,4,1,4,414,Regular
14507.0,27,1,171.5,3,1,1,311,Regular
14512.0,31,1,153.28,2,1,1,211,At Risk
14514.0,25,1,856.78,3,1,4,314,Regular
14519.0,27,1,122.94999999999999,3,1,1,311,Regular
14525.0,25,1,399.79999999999995,3,1,3,313,Regular
14527.0,3,8,6211.78,4,2,4,424,Regular
14540.0,21,2,582.59,4,1,3,413,Regular
14543.0,21,4,1270.0,4,2,4,424,Regular
14546.0,32,1,547.73,2,1,3,213,At Risk
14548.0,32,2,680.28,2,1,3,213,At Risk
14549.0,36,1,316.22,1,1,2,112,At Risk
14555.0,20,1,290.65,4,1,2,412,Regular
14558.0,30,1,306.45,2,1,2,212,At Risk
14560.0,18,2,679.22,4,1,3,413,Regular
14564.0,34,1,989.18,1,1,4,114,At Risk
14574.0,31,1,143.70000000000002,2,1,1,211,At Risk
14577.0,27,1,217.34,3,1,2,312,Regular
14590.0,3,4,639.86,4,2,3,423,Regular
14593.0,29,1,433.05,2,1,3,213,At Risk
14605.0,30,2,216.25,2,1,2,212,At Risk
14606.0,2,9,1873.53,4,2,4,424,Regular
14607.0,23,1,2320.2000000000003,3,1,4,314,Regular
14608.0,27,2,581.22,3,1,3,313,Regular
14625.0,22,1,584.1,3,1,3,313,Regular
14626.0,27,1,436.40000000000003,3,1,3,313,Regular
14643.0,27,1,350.68,3,1,3,313,Regular
14644.0,34,1,338.5,1,1,2,112,At Risk
14646.0,20,5,14696.47,4,2,4,424,Regular
14648.0,28,1,224.35999999999999,2,1,2,212,At Risk
14653.0,2,2,947.72,4,1,4,414,Regular
14654.0,37,1,246.86,1,1,2,112,At Risk
14662.0,34,1,110.69999999999999,1,1,1,111,At Risk
14667.0,22,2,750.3199999999999,3,1,4,314,Regular
14669.0,36,1,824.1800000000001,1,1,4,114,At Risk
14670.0,31,1,190.47,2,1,1,211,At Risk
14679.0,29,1,438.74,2,1,3,213,At Risk
14680.0,3,4,1801.61,4,2,4,424,Regular
14685.0,25,3,1300.41,3,2,4,324,Regular
14695.0,31,2,984.03,2,1,4,214,At Risk
14702.0,20,2,1013.5,4,1,4,414,Regular
14709.0,3,2,661.5,4,1,3,413,Regular
14710.0,28,2,73.5,2,1,1,211,At Risk
14713.0,34,1,160.69,1,1,1,111,At Risk
14717.0,32,1,81.3,2,1,1,211,At Risk
14723.0,34,1,141.63,1,1,1,111,At Risk
14732.0,22,2,556.1500000000001,3,1,3,313,Regular
14735.0,30,2,379.65000000000003,2,1,3,213,At Risk
14738.0,31,1,311.2,2,1,2,212,At Risk
14739.0,27,2,1253.31,3,1,4,314,Regular
14750.0,34,1,112.03,1,1,1,111,At Risk
14751.0,25,1,65.10000000000001,3,1,1,311,Regular
14755.0,34,2,445.15000000000003,1,1,3,113,At Risk
14769.0,22,1,969.66,3,1,4,314,Regular
14771.0,35,1,287.37,1,1,2,112,At Risk
14790.0,18,2,567.96,4,1,3,413,Regular
14796.0,23,1,266.02,3,1,2,312,Regular
14799.0,36,1,180.45,1,1,1,111,At Risk
14819.0,16,1,30.64,4,1,1,411,Regular
14828.0,31,1,682.4,2,1,4,214,At Risk
14831.0,36,2,833.75,1,1,4,114,At Risk
14838.0,35,1,119.10000000000001,1,1,1,111,At Risk
14839.0,2,1,425.06,4,1,3,413,Regular
14841.0,16,3,1215.8,4,2,4,424,Regular
14861.0,30,1,215.0,2,1,2,212,At Risk
14865.0,36,1,31.200000000000003,1,1,1,111,At Risk
14867.0,32,1,203.32,2,1,1,211,At Risk
14869.0,22,1,371.48,3,1,3,313,Regular
14871.0,23,2,319.65000000000003,3,1,2,312,Regular
14894.0,36,1,299.70000000000005,1,1,2,112,At Risk
14895.0,27,2,1817.55,3,1,4,314,Regular
14896.0,32,1,302.5,2,1,2,212,At Risk
14897.0,22,1,301.16,3,1,2,312,Regular
14898.0,24,2,668.66,3,1,3,313,Regular
14905.0,35,1,258.1,1,1,2,112,At Risk
14911.0,20,9,7119.24,4,2,4,424,Regular
14915.0,35,1,202.06,1,1,1,111,At Risk
14940.0,31,1,182.01,2,1,1,211,At Risk
14942.0,28,1,109.35,2,1,1,211,At Risk
14949.0,19,1,86.46000000000001,4,1,1,411,Regular
14952.0,22,2,590.1,3,1,3,313,Regular
14954.0,1,1,167.27,4,1,1,411,Regular
14955.0,31,1,163.77,2,1,1,211,At Risk
14958.0,34,1,186.36,1,1,1,111,At Risk
14961.0,24,2,2608.4700000000003,3,1,4,314,Regular
14966.0,22,2,335.12,3,1,2,312,Regular
14967.0,35,1,236.25,1,1,2,112,At Risk
14969.0,2,1,906.23,4,1,4,414,Regular
14977.0,24,1,31.929999999999996,3,1,1,311,Regular
14979.0,34,1,439.46,1,1,3,113,At Risk
14980.0,36,1,150.68,1,1,1,111,At Risk
14987.0,17,4,566.6999999999999,4,2,3,423,Regular
14990.0,29,1,200.23999999999998,2,1,1,211,At Risk
15005.0,21,3,900.66,4,2,4,424,Regular
15015.0,24,1,129.6,3,1,1,311,Regular
15031.0,30,1,250.02,2,1,2,212,At Risk
15032.0,27,1,1505.4,3,1,4,314,Regular
15039.0,17,3,579.52,4,2,3,423,Regular
15044.0,15,2,1732.5,4,1,4,414,Regular
15051.0,37,1,580.02,1,1,3,113,At Risk
15055.0,21,1,255.37,4,1,2,412,Regular
15057.0,32,1,304.1,2,1,2,212,At Risk
15059.0,32,1,280.94,2,1,2,212,At Risk
15061.0,22,9,14312.539999999999,3,2,4,324,Regular
15064.0,15,1,324.99,4,1,2,412,Regular
15070.0,23,1,324.8,3,1,2,312,Regular
15077.0,28,1,873.48,2,1,4,214,At Risk
15078.0,22,2,753.6600000000001,3,1,4,314,Regular
15079.0,30,2,738.53,2,1,4,214,At Risk
15085.0,28,1,347.54,2,1,3,213,At Risk
15093.0,30,1,249.64,2,1,2,212,At Risk
15109.0,34,1,231.2,1,1,2,112,At Risk
15115.0,31,1,191.74,2,1,1,211,At Risk
15144.0,25,1,370.2,3,1,3,313,Regular
15157.0,28,1,448.2,2,1,3,213,At Risk
15162.0,30,1,312.9,2,1,2,212,At Risk
15169.0,25,1,356.17,3,1,3,313,Regular
15179.0,35,1,763.35,1,1,4,114,At Risk
15181.0,29,1,162.72,2,1,1,211,At Risk
15184.0,22,1,123.19,3,1,1,311,Regular
15188.0,24,1,310.43,3,1,2,312,Regular
15194.0,21,4,1487.04,4,2,4,424,Regular
15196.0,25,1,152.25,3,1,1,311,Regular
15197.0,27,1,117.96000000000001,3,1,1,311,Regular
15203.0,29,1,255.68,2,1,2,212,At Risk
15209.0,28,1,178.98000000000002,2,1,1,211,At Risk
15222.0,22,1,436.56,3,1,3,313,Regular
15223.0,33,1,230.2,1,1,2,112,At Risk
15240.0,32,1,549.77,2,1,3,213,At Risk
15255.0,35,1,260.44,1,1,2,112,At Risk
15260.0,31,2,294.85,2,1,2,212,At Risk
15265.0,36,1,294.14,1,1,2,112,At Risk
15270.0,20,2,515.2,4,1,3,413,Regular
15287.0,36,1,58.2,1,1,1,111,At Risk
15291.0,2,4,1354.6000000000001,4,2,4,424,Regular
15298.0,29,1,303.45,2,1,2,212,At Risk
15302.0,29,1,308.0,2,1,2,212,At Risk
15309.0,34,1,273.75,1,1,2,112,At Risk
15311.0,1,15,10350.87,4,2,4,424,Regular
15312.0,22,1,321.65000000000003,3,1,2,312,Regular
15326.0,19,2,718.22,4,1,4,414,Regular
15329.0,24,1,318.36,3,1,2,312,Regular
15353.0,36,1,285.59,1,1,2,112,At Risk
15358.0,17,2,826.12,4,1,4,414,Regular
15362.0,37,1,310.75,1,1,2,112,At Risk
15367.0,28,1,785.62,2,1,4,214,At Risk
15369.0,30,1,312.96,2,1,2,212,At Risk
15380.0,27,2,441.62,3,1,3,313,Regular
15382.0,34,1,1523.2,1,1,4,114,At Risk
15393.0,22,1,187.84,3,1,1,311,Regular
15394.0,22,1,297.4,3,1,2,312,Regular
15403.0,29,1,95.75999999999999,2,1,1,211,At Risk
15409.0,19,1,131.25,4,1,1,411,Regular
15413.0,23,3,4513.42,3,2,4,324,Regular
15420.0,24,2,229.62,3,1,2,312,Regular
15421.0,30,1,241.05,2,1,2,212,At Risk
15428.0,20,1,184.44,4,1,1,411,Regular
15441.0,28,1,301.57,2,1,2,212,At Risk
15446.0,25,1,123.43,3,1,1,311,Regular
15456.0,18,2,476.05,4,1,3,413,Regular
15465.0,28,1,436.8,2,1,3,213,At Risk
15466.0,35,1,744.21,1,1,4,114,At Risk
15479.0,31,1,147.4,2,1,1,211,At Risk
15482.0,35,2,325.08000000000004,1,1,2,112,At Risk
15484.0,32,1,689.5,2,1,4,214,At Risk
15485.0,36,2,901.84,1,1,4,114,At Risk
15494.0,27,1,917.76,3,1,4,314,Regular
15497.0,19,1,272.0,4,1,2,412,Regular
15498.0,21,1,3416.7200000000003,4,1,4,414,Regular
15499.0,22,1,161.6,3,1,1,311,Regular
15503.0,25,1,120.06,3,1,1,311,Regular
15514.0,15,3,1469.69,4,2,4,424,Regular
15518.0,18,1,243.65,4,1,2,412,Regular
15521.0,2,1,531.72,4,1,3,413,Regular
15523.0,28,3,1173.53,2,2,4,224,At Risk
15527.0,22,1,297.86,3,1,2,312,Regular
15534.0,24,1,162.25,3,1,1,311,Regular
15542.0,36,2,540.73,1,1,3,113,At Risk
15547.0,32,1,671.56,2,1,3,213,At Risk
15550.0,24,2,386.15,3,1,3,313,Regular
15555.0,32,1,950.69,2,1,4,214,At Risk
15562.0,24,1,360.51000000000005,3,1,3,313,Regular
15566.0,23,1,138.22,3,1,1,311,Regular
15571.0,32,1,118.25999999999999,2,1,1,211,At Risk
15573.0,28,1,278.08,2,1,2,212,At Risk
15577.0,22,2,139.1,3,1,1,311,Regular
15581.0,3,10,802.13,4,2,4,424,Regular
15601.0,21,3,1490.47,4,2,4,424,Regular
15602.0,36,1,261.3,1,1,2,112,At Risk
15615.0,22,3,1236.5,3,2,4,324,Regular
15623.0,28,1,307.2,2,1,2,212,At Risk
15628.0,25,1,286.28000000000003,3,1,2,312,Regular
15633.0,29,1,191.89000000000001,2,1,1,211,At Risk
